name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,34,0,0.0,8001.7,8001.5,8005.1,8003.0,8003.7,8004.7
UI_Browse_DX_Filter_Tissue,34,0,0.0,44.8,42.1,130.4,51.6,59.9,111.6
UI_Clear_Programs_Search,31,31,100.0,,,,,,
UI_Expand_Inventory_Disease_Biology,32,0,0.0,2271.8,1344.9,7317.7,6226.6,6789.4,7156.5
UI_Filter_CytoPedia_Entities_Category,20,0,0.0,3679.1,1704.6,8231.8,7779.1,7923.2,8170.1
UI_Filter_Programs_All_Projects,39,39,100.0,,,,,,
UI_Filter_Programs_My_Projects,45,45,100.0,,,,,,
UI_Load_DX_Disease_Model_ASTH,34,0,0.0,5551.7,5348.6,14465.4,8905.1,9247.2,12817.3
UI_Login_Auth0,26,0,0.0,4884.1,3899.5,12761.0,7787.1,10554.9,12361.2
UI_Navigate_To_Inventory_Page,32,0,0.0,418.8,364.3,812.9,529.0,555.3,742.8
UI_Open_CytoPedia_Cell_Entities,16,16,100.0,,,,,,
UI_Open_CytoPedia_Page,20,0,0.0,2077.5,1409.4,6355.1,4004.9,6268.4,6337.8
UI_Open_DX_Differential_Expression_Page,34,0,0.0,526.8,467.2,2365.3,669.9,785.7,1867.9
UI_Open_Inventory_Item_Cell_Abundance,32,0,0.0,88.6,87.3,103.0,96.9,99.2,102.5
UI_Open_Inventory_Item_Target_Cell_Association,32,0,0.0,155.8,88.3,817.8,115.3,775.8,806.0
UI_Open_Inventory_Item_Target_Expression,32,0,0.0,110.7,106.5,142.1,126.9,128.9,138.5
UI_Open_Inventory_Item_Target_Expression_COPD,34,0,0.0,1785.8,1421.1,6911.8,1522.7,4389.8,6736.7
UI_Open_Inventory_Item_Target_Expression_UC,34,0,0.0,1714.5,1435.4,5854.2,1817.7,3264.5,5536.4
UI_Open_Inventory_Item_Target_Pathway_Association,32,0,0.0,142.9,98.0,864.6,113.6,465.7,745.9
UI_Open_Inventory_Item_Target_Regulation,32,0,0.0,91.9,90.3,119.6,103.7,109.7,118.4
UI_Open_Programs_Page,49,49,100.0,,,,,,
UI_Search_CytoPedia_Terms,20,0,0.0,2014.1,2011.3,2031.8,2024.0,2025.6,2030.5
UI_Search_Programs_Query,35,35,100.0,,,,,,
UI_Select_DX_Target_Gene_Analysis,34,0,0.0,33.4,27.7,124.1,49.2,81.5,112.7
UI_Select_DX_Target_Signature_Analysis,34,0,0.0,41.8,31.5,120.4,72.5,96.2,118.1
UI_Switch_DX_Disease_Model_COPD,34,0,0.0,397.2,369.6,626.4,535.8,570.0,614.1
UI_Switch_DX_Disease_Model_UC,34,0,0.0,401.5,394.1,619.6,455.7,497.5,590.9
__AGGREGATE__,865,215,24.86,1563.6,396.9,14465.4,6265.3,8001.3,8792.3
